0x71013c12a0,"MicInput"
0x71013c12a9,"GorobonAppear"
0x71013c12b7,"Jump"
0x71013c12bc,"Damage2"
0x71013c12c4,"BossGorobonRock"
0x71013c12d4,"LandFront"
0x71013c12de,"PgFireBallHit"
0x71013c12ec,"RecoverSign"
0x71013c12f8,"BunbunSpinHandR0"
0x71013c1309,"AttackStart"
0x71013c1315,"SeBmSuperBowserHitBegin"
0x71013c132d,"RootPane"
0x71013c1336,"LaserEnd"
0x71013c133f,"2M"
0x71013c1342,"Pow反応"
0x71013c134c,"Disappear"
0x71013c1356,"Weak"
0x71013c135b,"強"
0x71013c135f,"Plessie Chase Out Of Range Area Offset Left X"
0x71013c138d,"Last Phase 3 Small Ramp Torpedo Spike Attack Start Frame Lv 1"
0x71013c13cb,"JumpLandDisaster"
0x71013c13dc,"YOffset"
0x71013c13e4,"LandLoop"
0x71013c13ed,"Fall Speed Plessie"
0x71013c1400,"Joint Pitch Spine"
0x71013c1412,"SweepFixedTargetY"
0x71013c1424,"Float Frames"
0x71013c1431,"Fall"
0x71013c1436,"Boss Battle"
0x71013c1442,"RCS_CourseSelectKiosk"
0x71013c1458,"LR_BottomToTop"
0x71013c1467,"WorldId"
0x71013c146f,"コース未開放ミニ"
0x71013c1488,"MiniatureLock"
0x71013c1496,"PgEnterRumble"
0x71013c14a4,"IsUsePoint"
0x71013c14af,"DemoRocketOpen"
0x71013c14be,"コース選択ルート土管 栓"
0x71013c14e1,"DemoObjList"
0x71013c14ed,"MessageOpenWorldChampionship"
0x71013c150a,"コースセレクトコースイン"
0x71013c152f,"ErrorMessage"
0x71013c153c,"ワールド初回デモ"
0x71013c1555,"PhaseReturnGuide_Phase3"
0x71013c156d,"OpeningSwitch2On"
0x71013c157e,"Unknown_Model"
0x71013c158c,"UseFOVAnim"
0x71013c1597,"FirstPlayKinopioBrigade"
0x71013c15af,"BlinkFast"
0x71013c15b9,"ボム爆発ステート"
0x71013c15d2,"ExplosionPlayer"
0x71013c15e2,"GatherStart"
0x71013c15ee,"TowerWait"
0x71013c15f8,"BlowDownNaked"
0x71013c1606,"チョロボンアイテム"
0x71013c1622,"Killer"
0x71013c1629,"キラー"
0x71013c1633,"KillerSearchLauncher"
0x71013c1648,"プレイヤー発見"
0x71013c165e,"ノコノコ 通常"
0x71013c1672,"PackunFireFur"
0x71013c1680,"EatGo"
0x71013c1686,"パックンフラワー頭"
0x71013c16a2,"UseShadowMask"
0x71013c16b0,"joint6"
0x71013c16b7,"BeamInterval"
0x71013c16c4,"WaitActive"
0x71013c16cf,"BossBunretsuBeam"
0x71013c16e0,"SkipperTrampoline"
0x71013c16f2,"RecoverEnd"
0x71013c16fd,"PushPlayer"
0x71013c1708,"よわスキッパー壊れモデル"
0x71013c172d,"テンテンジェネレータ"
0x71013c174c,"IsAttachItemToRail"
0x71013c175f,"SearchAngleDegreeLeft"
0x71013c1775,"サングラス"
0x71013c1785,"AttackShort"
0x71013c1791,"Neck01"
0x71013c1798,"UkiboFloatBlowDown"
0x71013c17ab,"RaceMarker"
0x71013c17b6,"ShadowLuigiDamagedAfter"
0x71013c17ce,"Slot%d_IDLE"
0x71013c17da,"PlaceStamp_Handheld"
0x71013c17ee,"[state]ダメージ時の投げ"
0x71013c180e,"BlockDisaster6x2MBreak"
0x71013c1825,"CoinInterval"
0x71013c1832,"GiantHipDrop"
0x71013c183f,"OceanSpikeInterval"
0x71013c1852,"LaunchSpikeShootDistance"
0x71013c186b,"LaunchSpikeUpRate"
0x71013c187d,"TorpedoSpikePlayerLeadP8"
0x71013c1896,"IsRotateY"
0x71013c18a0,"HitBowserGuard"
0x71013c18af,"TouchedPG"
0x71013c18b9,"Guide05"
0x71013c18c1,"Guide07"
0x71013c18c9,"TxtStamp"
0x71013c18d2,"ParItemStock"
0x71013c18df,"ParBack"
0x71013c18e7,"FileSelectState"
0x71013c18f7,"Beaks"
0x71013c18fd,"icon_INPROGRESS"
0x71013c190d,"InkPhase3"
0x71013c1917,"クリアリスト"
0x71013c192a,"PgStampStart"
0x71013c1937,"IconPosition"
0x71013c1944,"ColorLuigi"
0x71013c194f,"ParControlGuideBar"
0x71013c1962,"ControlGuideBar_Back_Gen"
